id,machine_number,downtime,timestamp_dt
1582,8,287,2020-09-03 08:05:21.64449
1590,8,328,2020-09-03 08:10:21.73718
1596,8,287,2020-09-03 08:15:21.840342
1604,8,287,2020-09-03 08:20:21.950981
1611,8,328,2020-09-03 08:25:22.039299
1617,8,287,2020-09-03 08:30:22.155682
1624,8,287,2020-09-03 08:35:22.274236
1629,8,287,2020-09-03 08:40:22.358386
1636,8,328,2020-09-03 08:45:22.440966
1642,8,287,2020-09-03 08:50:22.55952
1649,8,287,2020-09-03 08:55:22.694401
1657,8,328,2020-09-03 09:00:22.745192
1664,8,287,2020-09-03 09:05:22.858878
1671,8,287,2020-09-03 09:10:22.946904
1678,8,328,2020-09-03 09:15:23.044727
1684,8,287,2020-09-03 09:20:23.144099
1690,8,287,2020-09-03 09:25:23.247037
1696,8,328,2020-09-03 09:30:23.350393
1703,8,287,2020-09-03 09:35:23.45898
1711,8,287,2020-09-03 09:40:23.560409
1717,8,328,2020-09-03 09:45:23.650634
1723,8,287,2020-09-03 09:50:31.098169
1729,8,287,2020-09-03 09:55:23.84993
1736,8,328,2020-09-03 10:00:23.957653
1744,8,287,2020-09-03 10:05:24.038185
1750,8,287,2020-09-03 10:10:24.148766
1756,8,328,2020-09-03 10:15:24.241551
1762,8,287,2020-09-03 10:20:24.352992
1767,8,287,2020-09-03 10:25:24.441672
1773,8,287,2020-09-03 10:30:24.536754
1779,8,328,2020-09-03 10:35:24.659275
1789,8,287,2020-09-03 10:40:24.7587
1798,8,287,2020-09-03 10:45:24.843835
1806,8,328,2020-09-03 10:50:24.935783
1812,8,287,2020-09-03 10:55:25.051611
1818,8,287,2020-09-03 11:00:25.154064
1825,8,328,2020-09-03 11:05:25.256728
1831,8,287,2020-09-03 11:10:25.339182
1837,8,287,2020-09-03 11:15:25.450221
1844,8,328,2020-09-03 11:20:25.535859
1852,8,287,2020-09-03 11:25:25.641212
1859,8,287,2020-09-03 11:30:25.73972
1866,8,328,2020-09-03 11:35:25.849951
1873,8,287,2020-09-03 11:40:25.94491
1880,8,287,2020-09-03 11:45:26.050803
1887,8,328,2020-09-03 11:50:26.142615
1897,8,287,2020-09-03 11:55:26.31785
1909,8,287,2020-09-03 12:00:26.34568
1921,8,287,2020-09-03 12:05:26.444465
1933,8,328,2020-09-03 12:10:26.537861
1945,8,287,2020-09-03 12:15:26.64843
1957,8,287,2020-09-03 12:20:26.757908
1969,8,328,2020-09-03 12:25:26.844374
1981,8,287,2020-09-03 12:30:26.945514
1993,8,287,2020-09-03 12:35:27.048393
2005,8,328,2020-09-03 12:40:27.157812
2017,8,287,2020-09-03 12:45:27.241063
2029,8,287,2020-09-03 12:50:27.356899
2041,8,328,2020-09-03 12:55:27.43615
2053,8,287,2020-09-03 13:00:27.533838
2065,8,287,2020-09-03 13:05:27.63376
2077,8,328,2020-09-03 13:10:27.752813
2089,8,287,2020-09-03 13:15:27.835792
2101,8,287,2020-09-03 13:20:27.947172
2113,8,328,2020-09-03 13:25:28.040293
2125,8,287,2020-09-03 13:30:28.136691
2137,8,287,2020-09-03 13:35:28.250233
2149,8,328,2020-09-03 13:40:28.356154
2161,8,287,2020-09-03 13:45:28.454299
2173,8,287,2020-09-03 13:50:28.550096
2185,8,287,2020-09-03 13:55:28.656079
2197,8,328,2020-09-03 14:00:28.747818
2209,8,287,2020-09-03 14:05:28.85423
2221,8,287,2020-09-03 14:10:28.948414
2233,8,328,2020-09-03 14:15:29.049315
2245,8,287,2020-09-03 14:20:29.154623
2257,8,287,2020-09-03 14:25:29.241591
2269,8,328,2020-09-03 14:30:29.342472
2281,8,287,2020-09-03 14:35:29.426392
2293,8,287,2020-09-03 14:40:29.531652
2305,8,328,2020-09-03 14:45:29.639384
2317,8,287,2020-09-03 14:50:29.730944
2329,8,287,2020-09-03 14:55:29.832412
2341,8,328,2020-09-03 15:00:29.944771
2373,8,328,2020-09-03 15:25:30.43864
2385,8,287,2020-09-03 15:30:30.54672
2397,8,287,2020-09-03 15:35:30.632788
2409,8,328,2020-09-03 15:40:30.737189
2421,8,287,2020-09-03 15:45:30.842105
2433,8,287,2020-09-03 15:50:30.930306
2445,8,328,2020-09-03 15:55:31.035749
2457,8,287,2020-09-03 16:00:31.142294
2469,8,287,2020-09-03 16:05:31.237212
2481,8,287,2020-09-03 16:10:31.344336
2493,8,328,2020-09-03 16:15:31.444253
2505,8,287,2020-09-03 16:20:31.539303
2517,8,287,2020-09-03 16:25:31.626269
2529,8,328,2020-09-03 16:30:31.738578
2541,8,287,2020-09-03 16:35:31.838892
2553,8,287,2020-09-03 16:40:31.939035
2565,8,328,2020-09-03 16:45:32.022768
2577,8,287,2020-09-03 16:50:32.11298
2589,8,287,2020-09-03 16:55:32.2007
2600,8,328,2020-09-03 17:00:32.307582
2613,8,287,2020-09-03 17:05:32.400587
2625,8,287,2020-09-03 17:10:32.496896
2636,8,328,2020-09-03 17:15:32.602367
2649,8,287,2020-09-03 17:20:32.698721
2661,8,287,2020-09-03 17:25:32.803274
2685,8,287,2020-09-03 17:35:33.019681
2697,8,287,2020-09-03 17:40:33.107732
2673,8,328,2020-09-03 17:30:32.892617
2709,8,328,2020-09-03 17:45:33.210221
